session_id,timestamp,account_id,source_identity,target_identity,attack_family,epsilon,similarity_before,similarity_after_attack,threshold_margin,accepted_after_attack,risk_score,risk_level,rule_hits,adv_file
faceauth_sess_001307,2026-06-28T22:25:59+09:00,account_a90781b5ae10,source_9a4dba119416,target_b750d1d78860,pgd,0.005,0.3959125876426697,0.7006635069847107,0.221001,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_af4d878d4935d74b
faceauth_sess_000035,2026-06-28T09:21:35+09:00,account_325c93af0e36,source_4008c321c1f3,target_03259d71c4a4,pgd,0.005,0.47859877347946167,0.6967108249664307,0.217048,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_79f1d104f0e0027b
faceauth_sess_001235,2026-06-28T21:41:35+09:00,account_325c93af0e36,source_4008c321c1f3,target_03259d71c4a4,pgd,0.005,0.47859877347946167,0.6967108249664307,0.217048,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_b035241a7a8dac28
faceauth_sess_000295,2026-06-28T12:01:55+09:00,account_aa8cb7bdb1ee,source_6eda93227392,target_5356319edd8e,fgsm,0.005,0.4416871964931488,0.6960818767547607,0.216419,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_af8c4ec240006fca
faceauth_sess_000083,2026-06-28T09:51:11+09:00,account_3290241e0d6b,source_ebc43d3edd78,target_056bbd32291f,pgd,0.005,0.34020477533340454,0.6952624320983887,0.2156,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_5f5f7f3ee46cb306
faceauth_sess_001283,2026-06-28T22:11:11+09:00,account_3290241e0d6b,source_ebc43d3edd78,target_056bbd32291f,pgd,0.005,0.34020477533340454,0.6952624320983887,0.2156,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_d4aa212fd1129335
faceauth_sess_001321,2026-06-28T22:34:37+09:00,account_8b79ce491c71,source_ebc43d3edd78,target_a5eaf0f7d6ad,pgd,0.005,0.39432579278945923,0.6851307153701782,0.205468,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_f123abc0a4668a7d
faceauth_sess_001354,2026-06-28T22:54:58+09:00,account_096db15d39e1,source_3b3b33593a36,target_bbb0daa338ba,pgd,0.005,0.4325396716594696,0.6771237254142761,0.197461,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_7779ebbe0a91c04b
faceauth_sess_000039,2026-06-28T09:24:03+09:00,account_a833223b917d,source_3b3b33593a36,target_3b63f0fe705d,pgd,0.005,0.39858973026275635,0.6718388795852661,0.192176,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_e771129015255aab
faceauth_sess_001239,2026-06-28T21:44:03+09:00,account_a833223b917d,source_3b3b33593a36,target_3b63f0fe705d,pgd,0.005,0.39858973026275635,0.6718388795852661,0.192176,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_d778abe68ff62988
faceauth_sess_000257,2026-06-28T11:38:29+09:00,account_a833223b917d,source_3b3b33593a36,target_3b63f0fe705d,fgsm,0.005,0.4403509497642517,0.6612382531166077,0.181576,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_e2fc6adb4bec971c
faceauth_sess_001385,2026-06-28T23:14:05+09:00,account_8b79ce491c71,source_ebc43d3edd78,target_a5eaf0f7d6ad,pgd,0.005,0.348843514919281,0.6571931838989258,0.177531,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_3463d9aa1230be9d
faceauth_sess_001374,2026-06-28T23:07:18+09:00,account_325c93af0e36,source_27656f3b65b8,target_03259d71c4a4,pgd,0.005,0.3938238024711609,0.6538076996803284,0.174145,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_a7315163c2b8478d
faceauth_sess_000235,2026-06-28T11:24:55+09:00,account_325c93af0e36,source_4008c321c1f3,target_03259d71c4a4,fgsm,0.005,0.47859877347946167,0.65168297290802,0.172021,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_2dfd329db998bf36
faceauth_sess_001372,2026-06-28T23:06:04+09:00,account_3290241e0d6b,source_4008c321c1f3,target_056bbd32291f,pgd,0.005,0.43433722853660583,0.6504201292991638,0.170758,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_e807dd9b4447ebbe
faceauth_sess_001324,2026-06-28T22:36:28+09:00,account_8b79ce491c71,source_9a4dba119416,target_a5eaf0f7d6ad,pgd,0.005,0.3827389180660248,0.6460809111595154,0.166418,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_41bb16a38a0e1e46
faceauth_sess_001369,2026-06-28T23:04:13+09:00,account_325c93af0e36,source_4008c321c1f3,target_03259d71c4a4,pgd,0.005,0.43070054054260254,0.6447308659553528,0.165068,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_23aa1a33de64c619
faceauth_sess_000283,2026-06-28T11:54:31+09:00,account_3290241e0d6b,source_ebc43d3edd78,target_056bbd32291f,fgsm,0.005,0.34020477533340454,0.6429579257965088,0.163295,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_85795cf729d323e3
faceauth_sess_000028,2026-06-28T09:17:16+09:00,account_2930c947d69b,source_16254f944d43,target_f279b767b25d,pgd,0.005,0.30851829051971436,0.6386148929595947,0.158952,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_fe1b30e42175d4f0
faceauth_sess_001228,2026-06-28T21:37:16+09:00,account_2930c947d69b,source_16254f944d43,target_f279b767b25d,pgd,0.005,0.30851829051971436,0.6386148929595947,0.158952,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_29f63be6630230d2
faceauth_sess_000041,2026-06-28T09:25:17+09:00,account_a90781b5ae10,source_9a4dba119416,target_b750d1d78860,pgd,0.005,0.39789918065071106,0.6319502592086792,0.152288,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_399ed6e6e46e6621
faceauth_sess_001241,2026-06-28T21:45:17+09:00,account_a90781b5ae10,source_9a4dba119416,target_b750d1d78860,pgd,0.005,0.39789918065071106,0.6319502592086792,0.152288,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_57e9313e2b52e8b4
faceauth_sess_000204,2026-06-28T11:05:48+09:00,account_096db15d39e1,source_b82940bb25ca,target_bbb0daa338ba,fgsm,0.005,0.31008633971214294,0.6278553009033203,0.148193,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_b73e20b0441c4958
faceauth_sess_000239,2026-06-28T11:27:23+09:00,account_a833223b917d,source_3b3b33593a36,target_3b63f0fe705d,fgsm,0.005,0.39858973026275635,0.6205089688301086,0.140847,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_5b257c569c52a810
faceauth_sess_000032,2026-06-28T09:19:44+09:00,account_3290241e0d6b,source_27656f3b65b8,target_056bbd32291f,pgd,0.005,0.3647959232330322,0.6044436097145081,0.124781,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_ceb1f33073123b9c
faceauth_sess_001232,2026-06-28T21:39:44+09:00,account_3290241e0d6b,source_27656f3b65b8,target_056bbd32291f,pgd,0.005,0.3647959232330322,0.6044436097145081,0.124781,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_14a62d584cbec96d
faceauth_sess_000067,2026-06-28T09:41:19+09:00,account_325c93af0e36,source_27656f3b65b8,target_03259d71c4a4,pgd,0.005,0.3364250659942627,0.6036312580108643,0.123969,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_d4407436ea0d7ec9
faceauth_sess_001267,2026-06-28T22:01:19+09:00,account_325c93af0e36,source_27656f3b65b8,target_03259d71c4a4,pgd,0.005,0.3364250659942627,0.6036312580108643,0.123969,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_5d347409fdf24189
faceauth_sess_001399,2026-06-28T23:22:43+09:00,account_a833223b917d,source_3b3b33593a36,target_3b63f0fe705d,pgd,0.005,0.3155478835105896,0.6018944978713989,0.122232,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_e8e285730fe92330
faceauth_sess_001325,2026-06-28T22:37:05+09:00,account_e24a8188935d,source_16254f944d43,target_6d0d6f90d03e,pgd,0.005,0.3199794888496399,0.6016882061958313,0.122026,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_4e53a61404edc067
faceauth_sess_000047,2026-06-28T09:28:59+09:00,account_ffbb30f1279e,source_3b3b33593a36,target_952b25972fe5,pgd,0.005,0.3629220128059387,0.5978243350982666,0.118162,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_543a6a6d6602d1e1
faceauth_sess_001247,2026-06-28T21:48:59+09:00,account_ffbb30f1279e,source_3b3b33593a36,target_952b25972fe5,pgd,0.005,0.3629220128059387,0.5978243350982666,0.118162,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_e98e2a4bdf18e178
faceauth_sess_000241,2026-06-28T11:28:37+09:00,account_a90781b5ae10,source_9a4dba119416,target_b750d1d78860,fgsm,0.005,0.39789918065071106,0.5835853815078735,0.103923,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_9465cb35d5800d49
faceauth_sess_000228,2026-06-28T11:20:36+09:00,account_2930c947d69b,source_16254f944d43,target_f279b767b25d,fgsm,0.005,0.30851829051971436,0.5822639465332031,0.102601,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_aac3bfe74122fa9a
faceauth_sess_001349,2026-06-28T22:51:53+09:00,account_a833223b917d,source_ea9c6f198674,target_3b63f0fe705d,pgd,0.005,0.3408327102661133,0.5653263330459595,0.085664,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_1e447d2dff5dc132
faceauth_sess_000232,2026-06-28T11:23:04+09:00,account_3290241e0d6b,source_27656f3b65b8,target_056bbd32291f,fgsm,0.005,0.3647959232330322,0.5598517656326294,0.080189,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_231da47f6a3c1056
faceauth_sess_000247,2026-06-28T11:32:19+09:00,account_ffbb30f1279e,source_3b3b33593a36,target_952b25972fe5,fgsm,0.005,0.3629220128059387,0.5582728385925293,0.07861,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_f9519e7110c214c4
faceauth_sess_000002,2026-06-28T09:01:14+09:00,account_a833223b917d,source_3b3b33593a36,target_3b63f0fe705d,pgd,0.005,0.32303187251091003,0.5578231811523438,0.078161,True,80,critical,FA-R001;FA-R005;FA-R006;FA-R007;FA-R008,artifact_e44e6038b783e4ec
